"year","sector_name","moving_average"
"2019","Other services (except public administration) [81]","42299666666.66666667"
"2019","Finance and insurance [52]","145672666666.66666667"
"2019","Business, building and other support services [55, 56]","64506666666.66666667"
"2019","Health care and social assistance [62]","162861333333.33333333"
"2019","Transportation and warehousing [48-49]","99609666666.66666667"
"2019","Mining, quarrying, and oil and gas extraction [21]","107888333333.33333333"
"2020","Professional, scientific and technical services [54]","136992000000.00000000"
"2020","Business, building and other support services [55, 56]","63924500000.00000000"
"2020","Manufacturing [31-33]","207672000000.00000000"
"2020","Transportation and warehousing [48-49]","100445500000.00000000"
"2020","Accommodation and food services [72]","40957000000.00000000"
"2020","Health care and social assistance [62]","166471500000.00000000"
"2020","Mining, quarrying, and oil and gas extraction [21]","103011000000.00000000"
"2020","Educational services [61]","118575000000.00000000"
"2020","Construction [23]","159031000000.00000000"
"2020","Finance and insurance [52]","148419000000.00000000"
"2020","Information, culture and recreation [51, 71]","82686500000.00000000"
"2020","Retail trade [44-45]","107381000000.00000000"
"2020","Agriculture, forestry, fishing and hunting [11]","40058000000.00000000"
"2020","Utilities [22]","50756000000.00000000"
"2020","Other services (except public administration) [81]","42083000000.00000000"
"2020","Real estate and rental and leasing [53]","288287000000.00000000"
"2020","Public administration [91]","157064500000.00000000"
